vocab_id	code	desc
CTV3	E000.	Uncomplicated senile dementia
CTV3	E001.	Presenile dementia
CTV3	E0010	Uncomplicated presenile dementia
CTV3	E0011	Presenile dementia with delirium
CTV3	E0012	Presenile dementia with paranoia
CTV3	E0013	Presenile dementia with depression
CTV3	E001z	Presenile dementia NOS
CTV3	E002.	Senile dementia with depressive or paranoid features
CTV3	E0020	Senile dementia with paranoia
CTV3	E0021	Senile dementia with depression
CTV3	E002z	Senile dementia with depressive or paranoid features NOS
CTV3	E003.	Senile dementia with delirium
CTV3	E004.	Arteriosclerotic dementia (including [multi infarct dementia])
CTV3	E004.	Arteriosclerotic dementia
CTV3	E004.	Multi infarct dementia
CTV3	E0040	Uncomplicated arteriosclerotic dementia
CTV3	E0041	Arteriosclerotic dementia with delirium
CTV3	E0042	Arteriosclerotic dementia with paranoia
CTV3	E0043	Arteriosclerotic dementia with depression
CTV3	E004z	Arteriosclerotic dementia NOS
CTV3	E00z.	Senile or presenile psychoses NOS
CTV3	E00z.	[X]Presenile psychosis NOS
CTV3	E041.	Dementia in conditions EC
CTV3	Eu00.	[X]Dementia in Alzheimer's disease
CTV3	Eu00.	Dementia in Alzheimer's disease
CTV3	Eu00.	DAT - Dementia Alzheimer's type
CTV3	Eu002	[X]Dementia in Alzheimer's dis, atypical or mixed type
CTV3	Eu00z	[X]Dementia in Alzheimer's disease, unspecified
CTV3	Eu011	[X]Dementia: [multi-infarct] or [predominantly cortical]
CTV3	Eu011	[X]Multi-infarct dementia
CTV3	Eu011	[X]Predominantly cortical dementia
CTV3	Eu01y	[X]Other vascular dementia
CTV3	Eu01z	[X]Vascular dementia, unspecified
CTV3	Eu02.	[X]Dementia in other diseases classified elsewhere
CTV3	Eu020	[X]Dementia in Pick's disease
CTV3	Eu022	[X]Dementia in Huntington's disease
CTV3	Eu023	[X]Dementia in Parkinson's disease
CTV3	Eu02y	[X]Dementia in other specified diseases classif elsewhere
CTV3	Eu041	[X]Delirium superimposed on dementia
CTV3	F110.	Alzheimer's disease
CTV3	F110.	AD - Alzheimer's disease
CTV3	F111.	Pick's disease
CTV3	F112.	Senile degeneration of brain
CTV3	F21y2	Binswanger's disease
CTV3	F21y2	Binswanger's encephalopathy
CTV3	F21y2	Subcortical arteriosclerotic encephalopathy
CTV3	F21y2	Subcortical atherosclerotic dementia
CTV3	F21y2	Chronic progressive subcortical encephalopathy
CTV3	Fyu30	[X]Other Alzheimer's disease
CTV3	X002w	Dementia
CTV3	X002x	Dementia in Alzheimer's disease with early onset
CTV3	X002x	Dementia in Alzheimer's disease - type 2
CTV3	X002x	Presenile dementia, Alzheimer's type
CTV3	X002y	Familial Alzheimer's disease of early onset
CTV3	X002z	Non-familial Alzheimer's disease of early onset
CTV3	X0030	Dementia in Alzheimer's disease with late onset
CTV3	X0030	Dementia in Alzheimer's disease - type 1
CTV3	X0030	SDAT - Senile dementia, Alzheimer's type
CTV3	X0031	Familial Alzheimer's disease of late onset
CTV3	X0032	Non-familial Alzheimer's disease of late onset
CTV3	X0033	Focal Alzheimer's disease
CTV3	X0034	Frontotemporal dementia
CTV3	X0035	Pick's disease with Pick bodies
CTV3	X0036	Pick's disease with Pick cells and no Pick bodies
CTV3	X0037	Frontotemporal degeneration
CTV3	X0037	Lobar atrophy
CTV3	X0039	Frontal lobe degeneration with motor neurone disease
CTV3	X003A	Lewy body disease
CTV3	X003A	LBD - Lewy body disease
CTV3	X003A	SDLT - Senile dementia of the Lewy body type
CTV3	X003A	Cortical Lewy body disease
CTV3	X003A	CLBD - Cortical Lewy body disease
CTV3	X003A	Diffuse Lewy body disease
CTV3	X003A	DLBD - Diffuse Lewy body disease
CTV3	X003A	Dementia of the Lewy body type
CTV3	X003G	Progressive aphasia in Alzheimer's disease
CTV3	X003H	Argyrophilic brain disease
CTV3	X003I	Post-traumatic dementia
CTV3	X003J	Punch drunk syndrome
CTV3	X003J	Dementia pugilistica
CTV3	X003R	Vascular dementia of acute onset
CTV3	X003T	Subcortical vascular dementia
CTV3	X003V	Mixed cortical and subcortical vascular dementia
CTV3	X003W	Semantic dementia
CTV3	X003X	Patchy dementia
CTV3	X003Y	Epileptic dementia
CTV3	X00R2	Senile dementia
CTV3	X00R2	SD - Senile dementia
CTV3	XE1aG	Dementia (& [presenile] or [senile])
CTV3	XE1aG	Senile/presenile dementia
CTV3	XE1aG	Senile dementia
CTV3	XE1aG	Senile and presenile dementias
CTV3	XE1aG	Senile/presenile dement
CTV3	XE1Xs	Vascular dementia
CTV3	XE1Xs	Arteriosclerotic dementia
CTV3	XE1Xs	VAD - Vascular dementia
CTV3	XE1Xt	Other senile and presenile organic psychoses
CTV3	XE1Z6	[X]Unspecified dementia
CTV3	Y00dJ	MID - Multi-infarct dementia
CTV3	Y00dM	Binswanger's encephalopathy
CTV3	Y00Gv	Dementia
CTV3	Y00Gw	Alzheimer's disease
CTV3	Y00H0	Dementia in Alzheimer's disease with early onset
CTV3	Y00H2	Presenile dementia, Alzheimer's type
CTV3	Y00H5	Dementia in Alzheimer's disease with late onset
CTV3	Y00H7	SDAT - Senile dementia, Alzheimer's type
CTV3	Y00HC	Pick's disease
