vocab_id	code	desc
CTV3	E004.	Arteriosclerotic dementia (including [multi infarct dementia])
CTV3	E004.	Arteriosclerotic dementia
CTV3	E004.	Multi infarct dementia
CTV3	E0040	Uncomplicated arteriosclerotic dementia
CTV3	E0041	Arteriosclerotic dementia with delirium
CTV3	E0042	Arteriosclerotic dementia with paranoia
CTV3	E0043	Arteriosclerotic dementia with depression
CTV3	E004z	Arteriosclerotic dementia NOS
CTV3	Eu011	[X]Dementia: [multi-infarct] or [predominantly cortical]
CTV3	Eu011	[X]Multi-infarct dementia
CTV3	Eu011	[X]Predominantly cortical dementia
CTV3	Eu01y	[X]Other vascular dementia
CTV3	Eu01z	[X]Vascular dementia, unspecified
CTV3	F21y2	Binswanger's disease
CTV3	F21y2	Binswanger's encephalopathy
CTV3	F21y2	Subcortical arteriosclerotic encephalopathy
CTV3	F21y2	Subcortical atherosclerotic dementia
CTV3	F21y2	Chronic progressive subcortical encephalopathy
CTV3	X003R	Vascular dementia of acute onset
CTV3	X003T	Subcortical vascular dementia
CTV3	X003V	Mixed cortical and subcortical vascular dementia
CTV3	XE1Xs	Vascular dementia
CTV3	XE1Xs	Arteriosclerotic dementia
CTV3	XE1Xs	VAD - Vascular dementia
CTV3	Y00dJ	MID - Multi-infarct dementia
CTV3	Y00dM	Binswanger's encephalopathy
CTV3	Y00Hv	Vascular dementia
CTV3	Y00Hw	Arteriosclerotic dementia
CTV3	Y00Hx	Vascular dementia of acute onset
CTV3	Y00Hz	Subcortical vascular dementia
CTV3	Y00I0	Binswanger's disease
CTV3	Y00I1	Mixed cortical and subcortical vascular dementia
CTV3	Y016w	Arteriosclerotic dementia with paranoia
CTV3	Y016x	Arteriosclerotic dementia with depression
CTV3	Y016y	Arteriosclerotic dementia NOS
CTV3	Y016z	Arteriosclerotic dementia with delirium
CTV3	Y0170	Uncomplicated arteriosclerotic dementia
CTV3	YadT0	Multi-infarct dementia
CTV3	YMB0s	[X]Other vascular dementia
CTV3	YMB0t	[X]Vascular dementia, unspecified
ICD10	F01	Vascular dementia
Read2	E004.	Arteriosclerotic dementia
Read2	E004.	Multi infarct dementia
Read2	E0040	Uncomplicated arteriosclerotic dementia
Read2	E0041	Arteriosclerotic dementia with delirium
Read2	E0042	Arteriosclerotic dementia with paranoia
Read2	E0043	Arteriosclerotic dementia with depression
Read2	E004z	Arteriosclerotic dementia NOS
Read2	Eu01.	[X]Vascular dementia
Read2	Eu01.	[X]Arteriosclerotic dementia
Read2	Eu010	[X]Vascular dementia of acute onset
Read2	Eu011	[X]Multi-infarct dementia
Read2	Eu012	[X]Subcortical vascular dementia
Read2	Eu013	[X]Mixed cortical and subcortical vascular dementia
Read2	Eu01y	[X]Other vascular dementia
Read2	Eu01z	[X]Vascular dementia, unspecified
Read2	F21y2	Binswanger's disease
Read2	F21y2	Binswanger's encephalopathy
