condition	vocab_id	code	desc
dementia_h22gp17d22	CTV3	A410.	Kuru
dementia_h22gp17d22	CTV3	A410.	Kuru encephalitis
dementia_h22gp17d22	CTV3	A411.	Creutzfeldt-Jakob disease
dementia_h22gp17d22	CTV3	A411.	CJD - Creutzfeldt-Jakob disease
dementia_h22gp17d22	CTV3	A411.	JCD - Jakob-Creutzfeldt disease
dementia_h22gp17d22	CTV3	A411.	Jakob-Creutzfeldt disease
dementia_h22gp17d22	CTV3	E000.	Uncomplicated senile dementia
dementia_h22gp17d22	CTV3	E001.	Presenile dementia
dementia_h22gp17d22	CTV3	E0010	Uncomplicated presenile dementia
dementia_h22gp17d22	CTV3	E0011	Presenile dementia with delirium
dementia_h22gp17d22	CTV3	E0012	Presenile dementia with paranoia
dementia_h22gp17d22	CTV3	E0013	Presenile dementia with depression
dementia_h22gp17d22	CTV3	E001z	Presenile dementia NOS
dementia_h22gp17d22	CTV3	E002.	Senile dementia with depressive or paranoid features
dementia_h22gp17d22	CTV3	E0020	Senile dementia with paranoia
dementia_h22gp17d22	CTV3	E0021	Senile dementia with depression
dementia_h22gp17d22	CTV3	E002z	Senile dementia with depressive or paranoid features NOS
dementia_h22gp17d22	CTV3	E003.	Senile dementia with delirium
dementia_h22gp17d22	CTV3	E004.	Arteriosclerotic dementia (including [multi infarct dementia])
dementia_h22gp17d22	CTV3	E004.	Arteriosclerotic dementia
dementia_h22gp17d22	CTV3	E004.	Multi infarct dementia
dementia_h22gp17d22	CTV3	E0040	Uncomplicated arteriosclerotic dementia
dementia_h22gp17d22	CTV3	E0041	Arteriosclerotic dementia with delirium
dementia_h22gp17d22	CTV3	E0042	Arteriosclerotic dementia with paranoia
dementia_h22gp17d22	CTV3	E0043	Arteriosclerotic dementia with depression
dementia_h22gp17d22	CTV3	E004z	Arteriosclerotic dementia NOS
dementia_h22gp17d22	CTV3	E00z.	Senile or presenile psychoses NOS
dementia_h22gp17d22	CTV3	E00z.	[X]Presenile psychosis NOS
dementia_h22gp17d22	CTV3	E041.	Dementia in conditions EC
dementia_h22gp17d22	CTV3	Eu00.	[X]Dementia in Alzheimer's disease
dementia_h22gp17d22	CTV3	Eu00.	Dementia in Alzheimer's disease
dementia_h22gp17d22	CTV3	Eu00.	DAT - Dementia Alzheimer's type
dementia_h22gp17d22	CTV3	Eu002	[X]Dementia in Alzheimer's dis, atypical or mixed type
dementia_h22gp17d22	CTV3	Eu00z	[X]Dementia in Alzheimer's disease, unspecified
dementia_h22gp17d22	CTV3	Eu011	[X]Dementia: [multi-infarct] or [predominantly cortical]
dementia_h22gp17d22	CTV3	Eu011	[X]Multi-infarct dementia
dementia_h22gp17d22	CTV3	Eu011	[X]Predominantly cortical dementia
dementia_h22gp17d22	CTV3	Eu01y	[X]Other vascular dementia
dementia_h22gp17d22	CTV3	Eu01z	[X]Vascular dementia, unspecified
dementia_h22gp17d22	CTV3	Eu02.	[X]Dementia in other diseases classified elsewhere
dementia_h22gp17d22	CTV3	Eu020	[X]Dementia in Pick's disease
dementia_h22gp17d22	CTV3	Eu021	[X]Dementia in Creutzfeldt-Jakob disease
dementia_h22gp17d22	CTV3	Eu022	[X]Dementia in Huntington's disease
dementia_h22gp17d22	CTV3	Eu023	[X]Dementia in Parkinson's disease
dementia_h22gp17d22	CTV3	Eu02y	[X]Dementia in other specified diseases classif elsewhere
dementia_h22gp17d22	CTV3	Eu041	[X]Delirium superimposed on dementia
dementia_h22gp17d22	CTV3	F110.	Alzheimer's disease
dementia_h22gp17d22	CTV3	F110.	AD - Alzheimer's disease
dementia_h22gp17d22	CTV3	F111.	Pick's disease
dementia_h22gp17d22	CTV3	F112.	Senile degeneration of brain
dementia_h22gp17d22	CTV3	F11x7	Cerebral degeneration due to Creutzfeldt-Jakob disease
dementia_h22gp17d22	CTV3	F21y2	Binswanger's disease
dementia_h22gp17d22	CTV3	F21y2	Binswanger's encephalopathy
dementia_h22gp17d22	CTV3	F21y2	Subcortical arteriosclerotic encephalopathy
