condition	vocab_id	code
liver_disease	ukb_noncancer	1604
liver_disease	ukb_noncancer	1158
liver_disease	ukb_noncancer	1155
liver_disease	ukb_noncancer	1578
liver_disease	ukb_noncancer	1579
liver_disease	ukb_noncancer	1580
liver_disease	ICD10	K70
liver_disease	ICD10	K71
liver_disease	ICD10	K72
liver_disease	ICD10	K73
liver_disease	ICD10	K74
liver_disease	ICD10	K75
liver_disease	ICD10	K76
liver_disease	ICD10	K77
liver_disease	ICD9	570
liver_disease	ICD9	571
liver_disease	ICD9	572
liver_disease	ICD9	573
liver_disease	Read2	J610.
liver_disease	Read2	J611.
liver_disease	Read2	J617.
liver_disease	Read2	J6170
liver_disease	Read2	J6120
liver_disease	Read2	J612.
liver_disease	Read2	G8523
liver_disease	Read2	J613.
liver_disease	Read2	J61..
liver_disease	Read2	Jyu7.
liver_disease	Read2	J6350
liver_disease	Read2	J6330
liver_disease	Read2	J6356
liver_disease	Read2	J6000
liver_disease	Read2	J6001
liver_disease	Read2	J6011
liver_disease	Read2	J625.
liver_disease	Read2	J6140
liver_disease	Read2	J6141
liver_disease	Read2	J6142
liver_disease	Read2	J614.
liver_disease	Read2	J614z
liver_disease	Read2	J61y4
liver_disease	Read2	J6160
liver_disease	Read2	J616.
liver_disease	Read2	J615.
liver_disease	Read2	J615z
liver_disease	Read2	Jyu71
liver_disease	Read2	G8522
liver_disease	Read2	J620.
liver_disease	Read2	J6201
liver_disease	Read2	J620z
liver_disease	Read2	J621.
liver_disease	Read2	J63y1
liver_disease	Read2	J63X.
liver_disease	Read2	J63B.
liver_disease	Read2	J61y8
liver_disease	Read2	J633.
liver_disease	Read2	J633z
liver_disease	Read2	J62..
liver_disease	Read2	J61y1
liver_disease	Read2	J61y7
liver_disease	Read2	J61y9
liver_disease	Read2	J623.
liver_disease	Read2	B7158
liver_disease	Read2	J61y.
liver_disease	Read2	J62y.
liver_disease	Read2	J63..
liver_disease	Read2	J63y2
liver_disease	Read2	J61z.
liver_disease	Read2	J63z.
liver_disease	Read2	J631.
liver_disease	Read2	J632z
liver_disease	Read2	J63A.
liver_disease	CTV3	X306R
liver_disease	CTV3	X3071
liver_disease	CTV3	XE0dF
liver_disease	CTV3	J610.
liver_disease	CTV3	J611.
liver_disease	CTV3	X306r
liver_disease	CTV3	X306T
liver_disease	CTV3	XaBE3
liver_disease	CTV3	XM1Oq
liver_disease	CTV3	X3072
liver_disease	CTV3	X307W
liver_disease	CTV3	J6155
liver_disease	CTV3	X307L
liver_disease	CTV3	X307M
liver_disease	CTV3	X307Q
liver_disease	CTV3	X307R
liver_disease	CTV3	XE0b4
liver_disease	CTV3	XaC1d
liver_disease	CTV3	X3073
liver_disease	CTV3	X3076
liver_disease	CTV3	X3077
liver_disease	CTV3	J613.
liver_disease	CTV3	X3071
liver_disease	CTV3	XE0dF
liver_disease	CTV3	J6330
liver_disease	CTV3	J635.
liver_disease	CTV3	X306R
liver_disease	CTV3	J6350
liver_disease	CTV3	X40Wc
liver_disease	CTV3	SP142
liver_disease	CTV3	X3076
liver_disease	CTV3	X3077
liver_disease	CTV3	XaJxp
liver_disease	CTV3	J6352
liver_disease	CTV3	J6355
liver_disease	CTV3	J6330
liver_disease	CTV3	X306s
liver_disease	CTV3	J6356
liver_disease	CTV3	J635.
liver_disease	CTV3	X306R
liver_disease	CTV3	X3076
liver_disease	CTV3	X3079
liver_disease	CTV3	J6000
liver_disease	CTV3	J6001
liver_disease	CTV3	J6011
liver_disease	CTV3	X3077
liver_disease	CTV3	XM1Oq
liver_disease	CTV3	X3077
liver_disease	CTV3	J622.
liver_disease	CTV3	X0058
liver_disease	CTV3	X3076
liver_disease	CTV3	X3077
liver_disease	CTV3	X3079
liver_disease	CTV3	J614.
liver_disease	CTV3	X306R
liver_disease	CTV3	J6140
liver_disease	CTV3	J6143
liver_disease	CTV3	X307G
liver_disease	CTV3	J6141
liver_disease	CTV3	J614.
liver_disease	CTV3	J614y
liver_disease	CTV3	J614z
liver_disease	CTV3	X306R
liver_disease	CTV3	J61y3
liver_disease	CTV3	X307W
liver_disease	CTV3	X307Z
liver_disease	CTV3	X307W
liver_disease	CTV3	J616.
liver_disease	CTV3	J6160
liver_disease	CTV3	J616.
liver_disease	CTV3	J616.
liver_disease	CTV3	J616z
liver_disease	CTV3	J61..
liver_disease	CTV3	J615.
liver_disease	CTV3	J6153
liver_disease	CTV3	J6155
liver_disease	CTV3	J615y
liver_disease	CTV3	J615z
liver_disease	CTV3	Jyu71
liver_disease	CTV3	X307L
liver_disease	CTV3	X307M
liver_disease	CTV3	X307O
liver_disease	CTV3	X307Q
liver_disease	CTV3	X307R
liver_disease	CTV3	XE0b5
liver_disease	CTV3	XE0bA
liver_disease	CTV3	XaBM6
liver_disease	CTV3	XaBM6
liver_disease	CTV3	X306R
liver_disease	CTV3	X306T
